SMA50,SMA100,SMA200,总收益,年化收益率,波动率,夏普比率,最大回撤
30,90,230,3.544299879149614,0.13571165277768737,0.06479089217693511,2.068229523913061,-0.0674568609980567
30,90,240,3.512806945774037,0.13504791435537067,0.06459325407272168,2.064977816099461,-0.06745686099805615
30,90,250,3.5248937375491094,0.13530315322068676,0.06392217034962153,2.089620163049909,-0.06745686099805681
30,100,180,3.5633450742917248,0.13611100383046848,0.06467898771425322,2.077322732160477,-0.06908151963684817
30,100,190,3.6996599418098715,0.13892556884478902,0.06478142243061495,2.113738769721446,-0.06908151963684783
30,100,200,3.6483521211460133,0.13787507361817597,0.06486138401730407,2.0964632954265827,-0.06908151963684817
30,100,210,3.637364063382135,0.13764871994081718,0.0647970359715501,2.095297441842319,-0.06908151963684772
30,100,220,3.592210810788938,0.136713377079708,0.06495650672763902,2.0771856165225104,-0.06908151963684783
30,100,230,3.5020953230632,0.13482119128979297,0.06423852066454168,2.072792670671489,-0.06908151963684817
30,100,240,3.5845174542178944,0.1365531710359682,0.06391550291607434,2.1076827252004824,-0.06908151963684794
30,100,250,3.5302797642786903,0.13541668979286126,0.0637911619782214,2.0954058619654656,-0.06908151963684839
30,110,180,3.6694035507215528,0.13830736693501144,0.06458564951032515,2.1112370874145565,-0.06908151963684783
30,110,190,3.7219700075479834,0.13937907987412013,0.06470420479325333,2.1225654753958563,-0.06908151963684828
30,110,200,3.6717584083819084,0.13835561311780054,0.06477826439199069,2.105830092570675,-0.06908151963684839
30,110,210,3.6638311265628642,0.138193110617864,0.06471856245390062,2.1054257843732365,-0.06908151963684805
30,110,220,3.6197881848471365,0.13728563397123694,0.06494579983362404,2.0855540850409287,-0.0690815196368485
30,110,230,3.584275397330777,0.13654812646174053,0.0642791648457945,2.096051265610484,-0.06908151963684761
30,110,240,3.611176205342381,0.13710726390587857,0.0638975928888428,2.1161662038204465,-0.06908151963684761
30,110,250,3.4662969978981257,0.13405987946341913,0.06399519773207665,2.0695603664284086,-0.06908151963684772
30,120,180,3.7812745264912078,0.1405751263305397,0.06508321215577297,2.127297199858012,-0.06988217612408154
30,120,190,3.817128337157115,0.14129164759025326,0.06517901815329813,2.134255301183894,-0.06988217612408198
30,120,200,3.7842765991838725,0.14063530977148186,0.06518439706693964,2.124935099724785,-0.06988217612408198
30,120,210,3.793328522229997,0.14081656719840496,0.06509067167566251,2.130431918876209,-0.06988217612408143
30,120,220,3.737644928703059,0.1396965416788467,0.06531226323426251,2.10783327929129,-0.06988217612408143
30,120,230,3.683084943298492,0.13858735971006064,0.06456226771122224,2.1159291902421975,-0.06988217612408121
30,120,240,3.7042588340420624,0.1390192145866027,0.06421548607019308,2.133131394164255,-0.06988217612408176
30,120,250,3.568176522881819,0.13621206975997358,0.06430616965676281,2.0904300315158104,-0.06988217612408121
40,80,180,3.4162056801763576,0.13298516702744112,0.06750322688804676,1.9508715211898229,-0.06961140188428494
40,80,190,3.65682907058662,0.13804936389546718,0.0676908722581853,2.01395669653603,-0.07018557254788227
40,80,200,3.593547955255797,0.13674119662475737,0.06765540895526204,1.997352858225917,-0.07018557254788238
40,80,210,3.603369020962651,0.13694529875649208,0.06755562543238709,2.0029584541732683,-0.07210134008791469
40,80,220,3.567701734291566,0.13620214230533922,0.06765286652685845,1.9901554944242439,-0.0721013400879148
40,80,230,3.533339657895648,0.13548113679513785,0.06698026314316975,1.9996389231693754,-0.07210134008791425
40,80,240,3.4921068904946715,0.13460932970969286,0.06671647006356582,1.9953462562597875,-0.07210134008791447
40,80,250,3.492861027552406,0.1346253405308553,0.06598507180464629,2.0169409069543023,-0.07210134008791413
40,90,180,3.5110054640280843,0.1350098185499886,0.06742927334195792,1.9803860145758938,-0.06961140188428483
40,90,190,3.6122377508726675,0.13712926696179295,0.06756248190484036,2.005241871987591,-0.07018557254788327
40,90,200,3.5500304540195717,0.13583197588789675,0.06751585670748739,1.9890524264039808,-0.07018557254788194
40,90,210,3.573748663812606,0.13632850825218878,0.06738461703405765,1.9995194207202966,-0.0721013400879148
40,90,220,3.539670997745855,0.13561436007302374,0.0674743539284476,1.987289019643017,-0.07210134008791458
40,90,230,3.5148231240291983,0.13509053381776748,0.06679415366884922,1.9996816320339914,-0.07210134008791436
40,90,240,3.4809293572791358,0.13437173427844806,0.06652286456157636,1.9976933318288688,-0.07210134008791425
40,90,250,3.5304428164341113,0.13542012497746803,0.06582166652728778,2.03281164468062,-0.07210134008791425
40,100,180,3.4871671974509804,0.13450439588946184,0.06658238937633736,1.997780237223989,-0.07001709611050866
40,100,190,3.574796764851304,0.1363503954230738,0.06675098664465114,2.0181535449344152,-0.07018557254788194
40,100,200,3.523706476363415,0.13527810929737405,0.06672471673086343,2.004253818143654,-0.07018557254788182
40,100,210,3.5291752962405756,0.1353934178660685,0.06661536843992541,2.0090148402658254,-0.07210134008791436
40,100,220,3.4860969121618357,0.13448164589078337,0.0666361349235267,1.9959107112692127,-0.07210134008791413
40,100,230,3.4207827960210677,0.13308383159743942,0.06597262814243557,1.9959433386836898,-0.07210134008791436
40,100,240,3.503804534785184,0.13485740170958338,0.06557753387319079,2.0322996282959966,-0.07210134008791425
40,100,250,3.482743125576186,0.13441032554710364,0.06538211659344237,2.031929004646657,-0.07210134008791436
40,110,180,3.614878429525863,0.13718398119315656,0.06664374096712351,2.0327034861929407,-0.07001709611050833
40,110,190,3.698056340126424,0.13889289548981543,0.06683418176792398,2.050394673432609,-0.07018557254788216
40,110,200,3.6538659599168763,0.13798847393295,0.06681318511302184,2.0386910650461676,-0.0701855725478826
40,110,210,3.6589048903021695,0.13809199948152595,0.0667058334465889,2.043278254146106,-0.07210134008791436
40,110,220,3.61949266568584,0.13727951826942575,0.06674306112907226,2.031082631459896,-0.07210134008791447
40,110,230,3.6086024157687433,0.13705389672802415,0.0661383640503041,2.045935841323898,-0.07210134008791402
40,110,240,3.6220998361860293,0.13733346070938057,0.06568346591132039,2.063529400509756,-0.07210134008791402
40,110,250,3.579361500980422,0.13644566587132712,0.06563622736189657,2.052631612732319,-0.07210134008791402
40,120,180,3.6633137313022415,0.1381824956644675,0.0670906065780022,2.0331729496470636,-0.07001709611050844
40,120,190,3.7371414882353475,0.13968636053850636,0.06725084572112713,2.048843731035317,-0.07001709611050855
40,120,200,3.7222980347680483,0.13938573324185444,0.06715452646612695,2.047613395335156,-0.07001709611050899
40,120,210,3.7350773149742142,0.13964460613652419,0.06701373496251095,2.055289062158941,-0.07001709611050833
40,120,220,3.685314737840267,0.13863292193590948,0.06704540338965063,2.040616576688921,-0.07001709611050855
40,120,230,3.6558439723918,0.13802912471852502,0.06635852185321726,2.052761925961627,-0.07001709611050833
40,120,240,3.65200763212036,0.13795026840614977,0.06594189911188644,2.064224416212914,-0.07001709611050866
40,120,250,3.5641259945331907,0.13612734603136878,0.06597750910418113,2.037952484237248,-0.0700170961105081
50,80,180,3.214269794802636,0.1285362056779109,0.06951412241022226,1.8377440447802582,-0.07850221533505597
50,80,190,3.44115582027362,0.13352186168601365,0.06970364227446657,1.8984996327778585,-0.08073234224456394
50,80,200,3.3988457084569745,0.132610101201577,0.069627459229432,1.8885202308153772,-0.0785082451946787
50,80,210,3.370962286113687,0.1320048268730194,0.06944999958026207,1.8851879429542644,-0.08114149405278093
50,80,220,3.3401290663419907,0.1313313888590666,0.06940080443879192,1.8775836205130434,-0.0811414940527806
50,80,230,3.361111933779277,0.13179015652200032,0.06890314736744288,1.8967437477480578,-0.08114149405277893
50,80,240,3.2739739874821545,0.1298715611803558,0.06850578824720138,1.8816728735494337,-0.08372970604856089
50,80,250,3.2877524487179928,0.13017730523249704,0.06777689439196988,1.9053064467464782,-0.08372970604856045
50,90,180,3.2987269298257598,0.13042018580832626,0.0693654286369777,1.8664645191488096,-0.07903675215352735
50,90,190,3.4853263434033384,0.1344652635924759,0.06963194732175879,1.9127690193546387,-0.08126558542461082
50,90,200,3.4443230359264607,0.13358979302405594,0.06955664479371305,1.9032590260640039,-0.07904277851538688
50,90,210,3.4501851811248203,0.13371540907069246,0.0693090945605344,1.9114658275493706,-0.08166977362080496
50,90,220,3.421999226589576,0.13311003730633808,0.06924717200858944,1.905114590916022,-0.08166977362080352
50,90,230,3.4417298600788753,0.13353417714594018,0.06873670543051165,1.9243934449613902,-0.08166977362080474
50,90,240,3.3448969680831606,0.13143581194758003,0.06834300470573079,1.9069783762261956,-0.08256788739891929
50,90,250,3.400719461016285,0.13265064922395609,0.06762073223288871,1.943064995021119,-0.08256788739891896
50,100,180,3.4509249958751536,0.1337312513013995,0.06810041709602434,1.9443740926882274,-0.06961140188428505
50,100,190,3.526107580248908,0.1353287516291659,0.06825253178861673,1.9615807015888214,-0.07053677521575596
50,100,200,3.56037324415147,0.13604878935498732,0.06836476717047618,1.968087322252227,-0.07053677521575674
